rs_id,sc_id
skenp001,694973
peraf001,642547
smits003,681343
misij001,694819
cavac001,676917
boydm001,571510
rasmd002,656876
eovan001,543135
bibet001,676440
gilbl001,669302
gallz001,668678
skubt001,669373
pivet001,601713
browh001,686613
sorij001,667755
ryanj002,657746
roget003,669432
abboa001,671096
libem001,669060
sancc002,666489
yamay001,808967
crong001,676979
cruzn001,665833
loweb001,664040
reynb001,668804
ozoum001,542303
oheaj001,656811
triol001,669707
horvs001,687462
gonzn002,693304
davish001,680779
lindf001,596019
sotoj001,665742
bichb001,666182
polaj001,593871
robel001,673357
batybr001,683146
semim001,543760
alvaf001,682626
meidc001,805367
montc002,695657
vargm002,678246
benin001,643217
haysa001,669720
muram001,808959
peree001,677592
quere001,700337
acunl001,682668
turab001,668930
contrw001,661388
yelic001,592885
vauga001,683734
bauej001,641343
sosal001,686217
hamid001,666152
mitcg001,669003
ortij001,687401
woodj001,695578
chapa001,665953
housb001,691781
liled001,695734
wiemj001,686894
abrac001,682928
nunen001,683083
ruizk001,660688
younj001,696285
wiggb001,683737
bregm001,608324
happi001,664023
crowp001,691718
hoern001,663538
kellc001,608348
ballm001,694208
swand001,621020
shawm001,807713
marta001,668885
buxtb001,621439
keasl001,807712
jeffr001,680777
wallm001,670242
bellj001,605137
carav001,605170
lewir001,668904
leeb001,686797
wardt001,621493
hendg001,683002
alonp001,624413
rutsa001,668939
basas001,694212
oneit001,641933
cowsc001,681297
mayoc001,691723
alexb001,677942
anthr001,701350
stort001,596115
duraj001,680776
contw001,575929
durbc001,702332
abrew001,677800
kinei001,643396
narvc001,665966
rafac001,678882
friet001,670770
mclam001,680574
cruze001,682829
stews001,701398
suare001,553993
stees001,668715
stept001,663886
martn001,682622
hayek001,663647
netoz001,687263
troum001,545361
schan001,694384
solej001,624585
moncy001,660162
adelj001,666176
lowej001,666139
ohopl001,681351
perao001,672724
altuj001,514888
alvay001,670541
parei001,670623
corrc001,621043
lopej001,694388
smitc001,701358
walkc001,572233
diazy001,673237
meyej001,676694
carpk001,681481
edmat001,650402
keitc001,690993
greer001,682985
torks001,679529
dingd001,693307
meadp001,678009
baezj001,595879
tatif001,665487
bogax001,593428
machm001,592518
merrj001,701538
andum001,609280
sheeg001,657757
laurr001,657656
fermf001,666023
cronj001,630105
diazy001,650490
vilar001,668723
aranj001,666018
camij001,691406
willb001,810938
deluj001,676356
fortn001,663743
mullc001,656775
willc001,700246
herri001,671056
burla001,676475
winnm001,691026
gormn001,669357
walkj001,691023
churn001,701675
pagep001,686780
scotv001,687363
nimmb001,607043
langw001,694671
seagc001,608369
burgj001,669394
jungj001,673962
smitj001,669701
jansd001,643376
haggs001,664059
turnt001,607208
schwa001,656941
harpb001,547180
bohma001,664761
stotb001,681082
garca001,666969
marsb001,669016
realj001,592663
kwans001,680757
delac001,800050
ramij001,608070
manzk001,700932
naylb001,666310
ariag001,672356
kayfc001,692216
roccb001,677587
donob001,680977
ralec001,663728
rodrj001,677594
naylj001,647304
arozr001,668227
ralel001,670042
canzd001,686527
younc001,702284
rival001,660844
martk001,606466
carrc001,682998
perdg001,672695
moreg001,672515
smitp001,656976
arenn001,571448
santc001,467793
thoma001,677950
lawlj001,691783
ohtas001,660271
tuckk001,663656
bettm001,605141
freef001,518692
smitw001,669257
muncm001,691777
hernt001,606192
pagea001,681624
rojam001,500743
sheee001,686218
mikom001,571945
mcgrm001,700241
valdf001,664285
peree004,671734
warrw001,701542
kingm002,650633
grays001,543243
ceasd001,656302
burks001,680732
singb001,663903
gorem001,669022
hortc001,690990
cantj002,676282
boylj001,671212
oberb002,641927
nolaa001,605400
lorem002,547179
bradk001,680694
kellm002,656605
patrc001,694477
avill002,679883
woo-b001,693433
detmr001,672282
javic001,664299
sprij001,605488
holmg001,656550
rodre004,593958
mclen001,690997
mahlt001,641816
friedm001,608331
webbl001,657277
libem001,669461
sancc001,650911
